location,date,Alpha,Beta,Delta,Gamma,others
Romania,2021-07-26,0.17525773195876287,0.0,0.8041237113402062,0.0,0.010309278350515464
Romania,2021-08-09,0.026717557251908396,0.0,0.9656488549618321,0.0,0.003816793893129771
Russia,2021-04-05,0.35454545454545455,0.013636363636363636,0.004545454545454545,0.0,0.6272727272727273
Russia,2021-04-19,0.1853035143769968,0.01597444089456869,0.012779552715654952,0.0,0.7795527156549521
Russia,2021-05-03,0.20447284345047922,0.012779552715654952,0.08306709265175719,0.0,0.6996805111821086
Russia,2021-05-17,0.16494845360824742,0.01718213058419244,0.3127147766323024,0.003436426116838488,0.5017182130584192
Russia,2021-05-31,0.0958904109589041,0.0,0.675146771037182,0.0,0.22896281800391388
Russia,2021-06-14,0.016592920353982302,0.00331858407079646,0.8949115044247787,0.0,0.08517699115044247
Russia,2021-06-28,0.014732965009208104,0.0,0.9558011049723757,0.0,0.029465930018416207
Russia,2021-07-12,0.0015037593984962407,0.0,0.9939849624060151,0.0,0.004511278195488722
Russia,2021-07-26,0.0,0.0,0.9532710280373832,0.0,0.04672897196261682
Russia,2021-08-09,0.00390625,0.0,0.94140625,0.0,0.0546875
Rwanda,2021-04-05,0.0,0.14285714285714285,0.047619047619047616,0.0,0.8095238095238095
Rwanda,2021-04-19,0.0,0.16666666666666666,0.16666666666666666,0.0,0.6666666666666666
Rwanda,2021-05-03,0.4,0.0,0.0,0.0,0.6
Rwanda,2021-05-17,0.0,0.125,0.125,0.0,0.75
Rwanda,2021-05-31,0.5,0.5,0.0,0.0,0.0
Rwanda,2021-06-14,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333
Rwanda,2021-06-28,0.008403361344537815,0.1092436974789916,0.8151260504201681,0.0,0.06722689075630252
Rwanda,2021-07-12,0.01694915254237288,0.1016949152542373,0.847457627118644,0.0,0.03389830508474576
Rwanda,2021-07-26,0.047619047619047616,0.0,0.9047619047619048,0.0,0.047619047619047616
Rwanda,2021-08-09,0.03571428571428571,0.0,0.9642857142857143,0.0,0.0
Senegal,2021-04-05,0.5882352941176471,0.0,0.23529411764705882,0.0,0.17647058823529413
Senegal,2021-04-19,0.2,0.0,0.4,0.0,0.4
Senegal,2021-05-03,1.0,0.0,0.0,0.0,0.0
Senegal,2021-05-17,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333
Senegal,2021-05-31,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333
Senegal,2021-06-14,0.06,0.0,0.5,0.0,0.28
Senegal,2021-06-28,0.0,0.0,1.0,0.0,0.0
Senegal,2021-07-12,0.0,0.0,1.0,0.0,0.0
Senegal,2021-07-26,0.0,0.0,0.9361702127659575,0.0,0.06382978723404255
Senegal,2021-08-09,0.0,0.0,0.7674418604651163,0.0,0.23255813953488372
Serbia,2021-04-05,1.0,0.0,0.0,0.0,0.0
Serbia,2021-04-19,1.0,0.0,0.0,0.0,0.0
Serbia,2021-05-03,0.9285714285714286,0.0,0.0,0.0,0.07142857142857142
Serbia,2021-05-17,1.0,0.0,0.0,0.0,0.0
Serbia,2021-05-31,1.0,0.0,0.0,0.0,0.0
Serbia,2021-06-14,1.0,0.0,0.0,0.0,0.0
Serbia,2021-06-28,0.0,0.0,1.0,0.0,0.0
Serbia,2021-07-12,0.13333333333333333,0.0,0.8666666666666667,0.0,0.0
Serbia,2021-07-26,0.06666666666666667,0.0,0.9333333333333333,0.0,0.0
Serbia,2021-08-09,0.0,0.0,1.0,0.0,0.0
Seychelles,2021-04-19,0.0,1.0,0.0,0.0,0.0
Seychelles,2021-05-03,0.0,0.6666666666666666,0.0,0.0,0.0
Seychelles,2021-05-17,0.5,0.0,0.5,0.0,0.0
Seychelles,2021-05-31,0.09090909090909091,0.5,0.38636363636363635,0.0,0.022727272727272728
Seychelles,2021-06-14,0.018518518518518517,0.018518518518518517,0.9629629629629629,0.0,0.0
Seychelles,2021-06-28,0.0,0.0,1.0,0.0,0.0
Seychelles,2021-07-12,0.0,0.0,1.0,0.0,0.0
Seychelles,2021-07-26,0.0,0.0,1.0,0.0,0.0
Seychelles,2021-08-09,0.0,0.0,1.0,0.0,0.0
Singapore,2021-04-05,0.2621951219512195,0.45121951219512196,0.012195121951219513,0.006097560975609756,0.1402439024390244
Singapore,2021-04-19,0.18617021276595744,0.30319148936170215,0.16489361702127658,0.02127659574468085,0.1702127659574468
Singapore,2021-05-03,0.10471204188481675,0.09424083769633508,0.6492146596858639,0.005235602094240838,0.06282722513089005
Singapore,2021-05-17,0.031818181818181815,0.05909090909090909,0.8409090909090909,0.0,0.05454545454545454
Singapore,2021-05-31,0.00909090909090909,0.03636363636363636,0.9030303030303031,0.0,0.051515151515151514
Singapore,2021-06-14,0.011235955056179775,0.011235955056179775,0.949438202247191,0.011235955056179775,0.016853932584269662
Singapore,2021-06-28,0.004608294930875576,0.013824884792626729,0.9631336405529954,0.0,0.018433179723502304
Singapore,2021-07-12,0.02666666666666667,0.013333333333333334,0.9333333333333333,0.0,0.02666666666666667
Singapore,2021-07-26,0.0,0.0,0.9988038277511961,0.0,0.0011961722488038277
Singapore,2021-08-09,0.0,0.0,1.0,0.0,0.0
Sint Maarten (Dutch part),2021-04-05,0.9,0.025,0.0,0.0,0.0
Sint Maarten (Dutch part),2021-04-19,1.0,0.0,0.0,0.0,0.0
Sint Maarten (Dutch part),2021-05-03,0.8484848484848485,0.0,0.030303030303030304,0.0,0.09090909090909091
Sint Maarten (Dutch part),2021-05-17,0.7857142857142857,0.0,0.03571428571428571,0.0,0.07142857142857142
Sint Maarten (Dutch part),2021-05-31,0.918918918918919,0.0,0.0,0.0,0.0
Sint Maarten (Dutch part),2021-06-14,1.0,0.0,0.0,0.0,0.0
Sint Maarten (Dutch part),2021-06-28,0.9852941176470589,0.0,0.0,0.0,0.0
Sint Maarten (Dutch part),2021-07-12,0.8717948717948718,0.0,0.1282051282051282,0.0,0.0
Sint Maarten (Dutch part),2021-07-26,0.3880597014925373,0.0,0.5970149253731343,0.014925373134328358,0.0
Sint Maarten (Dutch part),2021-08-09,0.047619047619047616,0.0,0.9455782312925171,0.0,0.0
Slovakia,2021-04-05,0.9787878787878788,0.0,0.0015151515151515152,0.0,0.015151515151515152
Slovakia,2021-04-19,0.9431818181818182,0.00974025974025974,0.04220779220779221,0.0,0.0016233766233766235
Slovakia,2021-05-03,0.9881305637982196,0.008902077151335312,0.0,0.0,0.0
Slovakia,2021-05-17,0.9970414201183432,0.0,0.0029585798816568047,0.0,0.0
Slovakia,2021-05-31,0.9884225759768451,0.002894356005788712,0.0,0.0,0.004341534008683068
Slovakia,2021-06-14,0.8821548821548821,0.003367003367003367,0.10942760942760943,0.0,0.005050505050505051
Slovakia,2021-06-28,0.8674698795180723,0.004016064257028112,0.11646586345381527,0.0,0.012048192771084338
Slovakia,2021-07-12,0.3347107438016529,0.0,0.6570247933884298,0.0,0.008264462809917356
Slovakia,2021-07-26,0.07380073800738007,0.0,0.9188191881918819,0.0,0.0036900369003690036
Slovakia,2021-08-09,0.010752688172043012,0.0,0.989247311827957,0.0,0.0
Slovenia,2021-04-05,0.7077294685990339,0.0,0.0006038647342995169,0.0,0.028985507246376812
Slovenia,2021-04-19,0.8411534701857283,0.0004887585532746823,0.0,0.0,0.012218963831867057
Slovenia,2021-05-03,0.9039919151086407,0.0,0.0015159171298635675,0.0005053057099545225,0.010611419909044972
Slovenia,2021-05-17,0.9479084451460142,0.0,0.0015785319652722968,0.0015785319652722968,0.0055248618784530384
Slovenia,2021-05-31,0.9713876967095851,0.0,0.005722460658082976,0.001430615164520744,0.00715307582260372
Slovenia,2021-06-14,0.9696048632218845,0.0,0.02127659574468085,0.00303951367781155,0.0060790273556231
Slovenia,2021-06-28,0.6701298701298701,0.0,0.2779220779220779,0.0,0.04155844155844156
Slovenia,2021-07-12,0.26582278481012656,0.0,0.6983122362869199,0.006329113924050633,0.029535864978902954
Slovenia,2021-07-26,0.029372496662216287,0.0,0.9639519359145527,0.0,0.006675567423230975
Slovenia,2021-08-09,0.009694258016405667,0.0,0.9880686055182699,0.0,0.0022371364653243847
South Africa,2021-04-05,0.021604938271604937,0.8518518518518519,0.06481481481481481,0.0,0.06172839506172839
South Africa,2021-04-19,0.012,0.88,0.032,0.0,0.072
South Africa,2021-05-03,0.046153846153846156,0.8487179487179487,0.017948717948717947,0.0,0.08461538461538462
South Africa,2021-05-17,0.045871559633027525,0.7431192660550459,0.08440366972477065,0.0,0.11559633027522936
South Africa,2021-05-31,0.07120743034055728,0.631578947368421,0.20588235294117646,0.0,0.08513931888544891
South Africa,2021-06-14,0.05086285195277021,0.3932788374205268,0.45231607629427795,0.0,0.09445958219800181
South Africa,2021-06-28,0.030102347983142687,0.11258278145695365,0.7808549066827213,0.0,0.07585791691751957
South Africa,2021-07-12,0.0071877807726864335,0.04537286612758311,0.8890386343216532,0.0,0.057951482479784364
South Africa,2021-07-26,0.002999400119976005,0.014397120575884824,0.943011397720456,0.0,0.038992201559688064
South Africa,2021-08-09,0.0012492192379762648,0.008744534665833853,0.9519050593379138,0.0,0.037476577139287946
South Korea,2021-04-05,0.19753086419753085,0.018518518518518517,0.0,0.0030864197530864196,0.7160493827160493
South Korea,2021-04-19,0.19117647058823528,0.014705882352941176,0.0,0.0,0.7034313725490197
South Korea,2021-05-03,0.32075471698113206,0.016981132075471698,0.016981132075471698,0.0,0.5075471698113208
South Korea,2021-05-17,0.3273542600896861,0.004484304932735426,0.08071748878923767,0.0,0.3632286995515695
South Korea,2021-05-31,0.06190476190476191,0.0,0.05714285714285714,0.0,0.48095238095238096
South Korea,2021-06-14,0.07188160676532769,0.0021141649048625794,0.048625792811839326,0.0021141649048625794,0.7251585623678647
South Korea,2021-06-28,0.15478260869565216,0.0,0.27304347826086955,0.006956521739130435,0.4852173913043478
South Korea,2021-07-12,0.08251748251748252,0.004195804195804196,0.5104895104895105,0.002797202797202797,0.3706293706293706
South Korea,2021-07-26,0.03954802259887006,0.0009416195856873823,0.6713747645951036,0.002824858757062147,0.24858757062146894
South Korea,2021-08-09,0.019791666666666666,0.0010416666666666667,0.8552083333333333,0.0,0.10208333333333333
Spain,2021-04-05,0.8457675753228121,0.01721664275466284,0.0003586800573888092,0.03012912482065997,0.04375896700143472
Spain,2021-04-19,0.8397024010821779,0.016909029421711193,0.0,0.059519783564423404,0.032803517078119716
Spain,2021-05-03,0.8312611012433393,0.02486678507992895,0.009236234458259326,0.0660746003552398,0.01349911190053286
Spain,2021-05-17,0.859024244238252,0.013768332834480694,0.02304699191858725,0.04310086800359174,0.017360071834780007
Spain,2021-05-31,0.7684653654802909,0.016838882510524303,0.08075009567546881,0.046689628779181015,0.024492920015308076
Spain,2021-06-14,0.6994722135982614,0.012418503570319777,0.1440546414157094,0.035703197764669355,0.04222291213908724
Spain,2021-06-28,0.44866666666666666,0.03966666666666667,0.38066666666666665,0.043666666666666666,0.035666666666666666
Spain,2021-07-12,0.20978787372640723,0.12209787873726408,0.6235176215132787,0.012694170703190245,0.00768331384666778
Spain,2021-07-26,0.08753315649867374,0.051534672224327394,0.8309965896172793,0.0060629026146267525,0.004357711254262978
Spain,2021-08-09,0.029324424647364514,0.01429101707498144,0.9380103934669636,0.0038975501113585748,0.003526354862657758
Sri Lanka,2021-04-05,0.16666666666666666,0.16666666666666666,0.0,0.0,0.6666666666666666
Sri Lanka,2021-04-19,0.375,0.0,0.125,0.0,0.5
Sri Lanka,2021-05-03,0.9090909090909091,0.0,0.0,0.0,0.09090909090909091
Sri Lanka,2021-05-17,0.9090909090909091,0.0,0.0,0.0,0.09090909090909091
Sri Lanka,2021-05-31,0.8837209302325582,0.0,0.06976744186046512,0.0,0.046511627906976744
Sri Lanka,2021-06-14,0.8852459016393442,0.0,0.09836065573770492,0.0,0.01639344262295082
Sri Lanka,2021-06-28,0.8591549295774648,0.007042253521126761,0.09154929577464789,0.0,0.04225352112676056
Sri Lanka,2021-07-12,0.5774647887323944,0.014084507042253521,0.39436619718309857,0.0,0.014084507042253521
Sri Lanka,2021-07-26,0.524390243902439,0.0,0.4634146341463415,0.0,0.012195121951219513
Sri Lanka,2021-08-09,0.11016949152542373,0.0,0.8813559322033898,0.0,0.00847457627118644
Suriname,2021-04-05,0.21052631578947367,0.05263157894736842,0.0,0.45614035087719296,0.2807017543859649
Suriname,2021-04-19,0.1836734693877551,0.0,0.0,0.5714285714285714,0.24489795918367346
Suriname,2021-05-03,0.17391304347826086,0.0,0.0,0.6521739130434783,0.17391304347826086
Suriname,2021-05-17,0.18604651162790697,0.0,0.0,0.7441860465116279,0.06976744186046512
Suriname,2021-05-31,0.03773584905660377,0.0,0.0,0.9245283018867925,0.03773584905660377
Suriname,2021-06-14,0.0,0.0,0.0,0.9459459459459459,0.05405405405405406
Suriname,2021-06-28,0.0,0.0,0.0,0.96,0.04
Suriname,2021-07-12,0.05128205128205128,0.0,0.0,0.8717948717948718,0.07692307692307693
Suriname,2021-07-26,0.05714285714285714,0.0,0.05714285714285714,0.8285714285714286,0.05714285714285714
Suriname,2021-08-09,0.04,0.0,0.16,0.78,0.02
Sweden,2021-04-05,0.9076700434153401,0.055185721177038106,0.0001929570670525808,0.0015436565364206464,0.010709117221418235
Sweden,2021-04-19,0.9441747572815534,0.028451995685005393,0.0010787486515641855,0.0010787486515641855,0.007955771305285868
Sweden,2021-05-03,0.9530002955956252,0.02364765001477978,0.0022169671888856044,0.0004433934377771209,0.00812887969258055
Sweden,2021-05-17,0.9677831393698553,0.018875957990349135,0.004541583877377235,0.0019869429463525404,0.005676979846721544
Sweden,2021-05-31,0.9489369779802581,0.01917236142748671,0.020311313591495826,0.003416856492027335,0.00721336370539104
Sweden,2021-06-14,0.7719298245614035,0.0041279669762641896,0.20614035087719298,0.007997936016511867,0.009029927760577915
Sweden,2021-06-28,0.6127966356263143,0.0045058576148993695,0.36467407629918897,0.00871132472213878,0.00871132472213878
Sweden,2021-07-12,0.2871242709735307,0.001794526693584567,0.6944818304172274,0.0022431583669807087,0.01301031852848811
Sweden,2021-07-26,0.04586063132817153,0.0002977963073257892,0.946396664681358,0.0023823704586063135,0.004169148302561048
Sweden,2021-08-09,0.007415485278080698,0.0008724100327153762,0.9914940021810251,0.0,0.00021810250817884405
Switzerland,2021-04-05,0.9282030940103134,0.00753669178897263,0.0,0.002776675922253074,0.04006346687822293
Switzerland,2021-04-19,0.933125,0.0134375,0.0025,0.0025,0.035625
Switzerland,2021-05-03,0.920426375805652,0.012146752602875557,0.008180466038671294,0.00917203767972236,0.03941497273177987
Switzerland,2021-05-17,0.916030534351145,0.009368494101318528,0.009021512838306732,0.015614156835530881,0.037820957668285915
Switzerland,2021-05-31,0.8891402714932126,0.008597285067873304,0.025791855203619908,0.024886877828054297,0.04208144796380091
Switzerland,2021-06-14,0.8077617328519856,0.007220216606498195,0.11281588447653429,0.01895306859205776,0.03429602888086643
Switzerland,2021-06-28,0.6096033402922756,0.016701461377870562,0.2839248434237996,0.029227557411273485,0.027139874739039668
Switzerland,2021-07-12,0.1526479750778816,0.0010384215991692627,0.7902388369678089,0.014537902388369679,0.021806853582554516
Switzerland,2021-07-26,0.022169167803547066,0.0,0.9597544338335607,0.0047748976807639835,0.006480218281036835
Switzerland,2021-08-09,0.007787151200519144,0.00043261951113995244,0.9742591390871729,0.001946787800129786,0.012978585334198572
Thailand,2021-04-05,0.6896551724137931,0.034482758620689655,0.0,0.0,0.27586206896551724
Thailand,2021-04-19,0.8992248062015504,0.007751937984496124,0.015503875968992248,0.007751937984496124,0.06976744186046512
Thailand,2021-05-03,0.9595959595959596,0.0,0.010101010101010102,0.0,0.020202020202020204
Thailand,2021-05-17,0.8370118845500849,0.04074702886247878,0.100169779286927,0.0,0.022071307300509338
Thailand,2021-05-31,0.8368678629690048,0.01631321370309951,0.11092985318107668,0.0,0.03588907014681892
Thailand,2021-06-14,0.7445255474452555,0.0036496350364963502,0.2518248175182482,0.0,0.0
Thailand,2021-06-28,0.48081841432225064,0.03324808184143223,0.48081841432225064,0.0,0.005115089514066497
Thailand,2021-07-12,0.27403846153846156,0.014423076923076924,0.7115384615384616,0.0,0.0
Thailand,2021-07-26,0.30847457627118646,0.025423728813559324,0.6627118644067796,0.0,0.003389830508474576
Thailand,2021-08-09,0.1912751677852349,0.003355704697986577,0.802013422818792,0.0,0.003355704697986577
Togo,2021-04-05,0.125,0.125,0.0,0.0,0.25
Togo,2021-04-19,0.0,0.0,0.07142857142857142,0.0,0.2857142857142857
Togo,2021-05-03,0.25,0.0,0.125,0.0,0.25
Togo,2021-06-14,0.0,0.0,0.6,0.0,0.36
Togo,2021-06-28,0.0,0.0,0.7407407407407407,0.0,0.18518518518518517
Togo,2021-07-12,0.0,0.0,0.875,0.0,0.125
Togo,2021-07-26,0.0,0.0,0.9583333333333334,0.0,0.041666666666666664
Togo,2021-08-09,0.0,0.0,1.0,0.0,0.0
Trinidad and Tobago,2021-04-05,0.625,0.0,0.0,0.0,0.375
Trinidad and Tobago,2021-04-19,0.014285714285714285,0.0,0.0,0.07142857142857142,0.9142857142857143
Trinidad and Tobago,2021-05-03,0.0,0.0,0.0,0.5532994923857868,0.4467005076142132
Trinidad and Tobago,2021-05-17,0.014084507042253521,0.0,0.0,0.8802816901408451,0.1056338028169014
Trinidad and Tobago,2021-05-31,0.0,0.0,0.0,0.9642857142857143,0.03571428571428571
Trinidad and Tobago,2021-06-14,0.0,0.0,0.0,1.0,0.0
Trinidad and Tobago,2021-06-28,0.0,0.0,0.0,1.0,0.0
Trinidad and Tobago,2021-07-12,0.0,0.0,0.0,1.0,0.0
Trinidad and Tobago,2021-07-26,0.0,0.0,0.0,1.0,0.0
Trinidad and Tobago,2021-08-09,0.0,0.0,0.04,0.88,0.08
Turkey,2021-04-05,0.015272727272727273,0.12509090909090909,0.0,0.008727272727272728,0.8341818181818181
Turkey,2021-04-19,0.42857142857142855,0.38095238095238093,0.0,0.0,0.19047619047619047
Turkey,2021-05-03,0.013888888888888888,0.006944444444444444,0.0,0.0,0.9513888888888888
Turkey,2021-05-17,0.02054794520547945,0.010273972602739725,0.003424657534246575,0.0,0.9657534246575342
Turkey,2021-05-31,0.04827586206896552,0.006896551724137931,0.020689655172413793,0.0034482758620689655,0.903448275862069
Turkey,2021-06-14,0.35185185185185186,0.04814814814814815,0.18518518518518517,0.08888888888888889,0.31851851851851853
Turkey,2021-06-28,0.020122484689413824,0.02974628171478565,0.5039370078740157,0.028871391076115485,0.4041994750656168
Turkey,2021-07-12,0.0009869232667160128,0.0002467308166790032,0.9634838391315075,0.0017271157167530224,0.033308660251665435
Turkey,2021-07-26,0.003968253968253968,0.0007936507936507937,0.326984126984127,0.004761904761904762,0.6619047619047619
Turkey,2021-08-09,0.07370197717408777,0.0036167818678669024,0.46182285806140494,0.0036167818678669024,0.4557145153512297
Uganda,2021-04-05,0.4230769230769231,0.2692307692307692,0.0,0.0,0.2692307692307692
Uganda,2021-04-19,0.058823529411764705,0.0,0.0,0.0,0.7058823529411765
Uganda,2021-05-03,0.0,0.0,0.36363636363636365,0.0,0.36363636363636365
Uganda,2021-05-17,0.23529411764705882,0.0,0.0,0.0,0.11764705882352941
Uganda,2021-05-31,0.0,0.0,1.0,0.0,0.0
Uganda,2021-06-14,0.0,0.005813953488372093,0.9534883720930233,0.0,0.029069767441860465
Uganda,2021-06-28,0.008771929824561403,0.008771929824561403,0.9298245614035088,0.0,0.05263157894736842
Uganda,2021-07-12,0.0,0.0,1.0,0.0,0.0
Uganda,2021-07-26,0.0,0.0,0.9333333333333333,0.0,0.06666666666666667
Uganda,2021-08-09,0.0,0.0,0.9411764705882353,0.0,0.058823529411764705
Ukraine,2021-04-05,0.5,0.0,0.0,0.0,0.5
Ukraine,2021-05-17,0.75,0.0,0.0,0.0,0.25
Ukraine,2021-05-31,0.9523809523809523,0.0,0.047619047619047616,0.0,0.0
Ukraine,2021-06-14,1.0,0.0,0.0,0.0,0.0
Ukraine,2021-06-28,0.4883720930232558,0.0,0.4418604651162791,0.0,0.06976744186046512
Ukraine,2021-07-12,0.0,0.0,0.9696969696969697,0.0,0.030303030303030304
Ukraine,2021-07-26,0.125,0.0,0.875,0.0,0.0
United Arab Emirates,2021-05-03,0.0,1.0,0.0,0.0,0.0
United Arab Emirates,2021-06-14,0.0,0.0,1.0,0.0,0.0
United Arab Emirates,2021-06-28,0.0,0.0,1.0,0.0,0.0
United Kingdom,2021-04-05,0.9819364405351666,0.004549590536851683,0.0010110201193003741,0.0005055100596501871,0.00626832473966232
United Kingdom,2021-04-19,0.9523510183555444,0.007920543122957003,0.016155393512698013,0.002263012320844858,0.009554940910233845
United Kingdom,2021-05-03,0.8744658493870403,0.007705779334500876,0.09155866900175132,0.00287215411558669,0.008966725043782837
United Kingdom,2021-05-17,0.6404619451787951,0.004243773479894254,0.33602337553916795,0.0020175316543759566,0.012035619869208293
United Kingdom,2021-05-31,0.25961215580926794,0.0011333109469442578,0.7324966420416387,0.000881464069845534,0.00398757555406313
United Kingdom,2021-06-14,0.09416619771149878,0.0007503282686175201,0.9021089583835785,0.0004019615724736715,0.0023849719966771176
United Kingdom,2021-06-28,0.01675797615211086,0.00013811518806684775,0.980940104046775,9.207679204456517e-05,0.0017724782468578795
United Kingdom,2021-07-12,0.006163163519771998,0.0,0.9925543284645529,7.125044531528322e-05,0.00040969006056287854
United Kingdom,2021-07-26,0.0022900896806111568,8.74080030767617e-05,0.9965386430781602,0.0002097792073842281,0.0002971872104609898
United Kingdom,2021-08-09,0.0021696007934540046,7.74857426233573e-05,0.9972415075626084,0.00010848003967270023,0.00018596578229605754
United States,2021-04-05,0.5184991729781492,0.0075157424334755234,0.0006093845216331506,0.03020806128667189,0.17461768375845158
United States,2021-04-19,0.6123513198082988,0.00839313650021107,0.0030791388343969607,0.05290407489260262,0.11115939509820963
United States,2021-05-03,0.6558118498417006,0.00812652281116412,0.012167899505405524,0.07685910622838885,0.0773405698778833
United States,2021-05-17,0.6658953018046049,0.007642345986309894,0.024268823895457373,0.09583074051026758,0.06988954573739888
United States,2021-05-31,0.6259122194168713,0.006848130598692629,0.06547227890568257,0.11309791443295404,0.07311589942240515
United States,2021-06-14,0.48617068480993936,0.002662328057979589,0.23216486713010895,0.1137898732929054,0.06892471527880491
United States,2021-06-28,0.28930958682876495,0.000762639630344085,0.5072899376429949,0.08559508321744201,0.05145574447086268
United States,2021-07-12,0.10084823106243625,0.0004563268373865894,0.794250281848929,0.04077414505824878,0.026762226874966447
United States,2021-07-26,0.027072121234930312,0.00017563007288648024,0.9292461706371609,0.014464391002722267,0.01144104474803357
United States,2021-08-09,0.007710200451529041,3.420674557022645e-05,0.9733871519463638,0.005767257303140179,0.006519805705685161
Uruguay,2021-04-05,0.0,0.0,0.0,0.4857142857142857,0.45714285714285713
Uruguay,2021-04-19,0.0,0.0,0.0,0.5298507462686567,0.44776119402985076
Uruguay,2021-05-03,0.0,0.0,0.0,0.0,1.0
Vietnam,2021-05-03,0.4,0.0,0.6,0.0,0.0
Vietnam,2021-05-17,0.034482758620689655,0.0,0.9655172413793104,0.0,0.0
Vietnam,2021-05-31,0.038461538461538464,0.0,0.9615384615384616,0.0,0.0
Vietnam,2021-06-14,0.0,0.0,1.0,0.0,0.0
Vietnam,2021-06-28,0.0,0.0,1.0,0.0,0.0
Vietnam,2021-07-26,0.0,0.0,1.0,0.0,0.0
Vietnam,2021-08-09,0.0,0.0,1.0,0.0,0.0
Zambia,2021-04-05,0.1111111111111111,0.7777777777777778,0.1111111111111111,0.0,0.0
Zambia,2021-04-19,0.0,0.5,0.0,0.0,0.5
Zambia,2021-05-03,0.0,0.6666666666666666,0.0,0.0,0.16666666666666666
Zambia,2021-05-31,0.0,0.0,1.0,0.0,0.0
Zambia,2021-06-14,0.010638297872340425,0.010638297872340425,0.9787234042553191,0.0,0.0
Zambia,2021-06-28,0.0,0.0,1.0,0.0,0.0
Zambia,2021-07-12,0.0,0.0,1.0,0.0,0.0
Zambia,2021-07-26,0.0,0.0,1.0,0.0,0.0
Zambia,2021-08-09,0.0,0.0,1.0,0.0,0.0
Zimbabwe,2021-06-28,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0
Zimbabwe,2021-07-12,0.0,0.0,1.0,0.0,0.0
Zimbabwe,2021-07-26,0.0,0.0,1.0,0.0,0.0
Zimbabwe,2021-08-09,0.0,0.0,0.9444444444444444,0.0,0.05555555555555555
